molregno1,molregno2,smiles1,smiles2,substituent1,substituent2,core,standard_value_1,standard_value_2,pKi_1,pKi_2,delta,label
400834,400832,C/C(=C/c1ccccc1)CN(CCCCCN)C(=O)/C=C/c1c[nH]c2ccccc12,NCCCCCN(C/C(Cl)=C\c1ccccc1)C(=O)/C=C/c1c[nH]c2ccccc12,[*]C,[*]Cl,NCCCCCN(CC(=Cc1ccccc1)[*:1])C(=O)/C=C/c1c[nH]c2ccccc12,99000.0,59000.0,4.00436480540245,4.229147988357856,0.2247831829554059,False
400841,400833,NCCCCCN(Cc1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,C/C(=C/c1ccccc1)CN(CCCCCN)C(=O)CCCc1c[nH]c2ccccc12,[*]Cc1ccccc1,[*]CC(C)=Cc1ccccc1,NCCCCCN(C(=O)CCCc1c[nH]c2ccccc12)[*:1].c1ccc([*:2])cc1,6400.0,4700.0,5.1938200260161125,5.327902142064283,0.1340821160481704,False
400833,400831,C/C(=C/c1ccccc1)CN(CCCCCN)C(=O)CCCc1c[nH]c2ccccc12,NCCCCCN(C/C(Cl)=C\c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,[*]C,[*]Cl,NCCCCCN(CC(=Cc1ccccc1)[*:1])C(=O)CCCc1c[nH]c2ccccc12,4700.0,2300.0,5.327902142064283,5.638272163982407,0.310370021918124,False
401138,400831,NC1CCCC(N(C/C(Cl)=C/c2ccccc2)C(=O)CCCc2c[nH]c3ccccc23)C1,NCCCCCN(C/C(Cl)=C\c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,[*]C1CCCC(N)C1,[*]CCCCCN,N[*:1].O=C(CCCc1c[nH]c2ccccc12)N(CC(Cl)=Cc1ccccc1)[*:2],2100.0,2300.0,5.6777807052660805,5.638272163982407,0.0395085412836735,False
400872,400831,NCCCCCCN(C/C(Cl)=C/c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,NCCCCCN(C/C(Cl)=C\c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,[*]CCCCCCN,[*]CCCCCN,N[*:2].O=C(CCCc1c[nH]c2ccccc12)N(CC(Cl)=Cc1ccccc1)[*:1],3800.0,2300.0,5.42021640338319,5.638272163982407,0.218055760599217,False
401127,400831,N[C@H]1CC[C@H](N(C/C(Cl)=C/c2ccccc2)C(=O)CCCc2c[nH]c3ccccc23)CC1,NCCCCCN(C/C(Cl)=C\c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,[*]C1CCC(N)CC1,[*]CCCCCN,N[*:2].O=C(CCCc1c[nH]c2ccccc12)N(CC(Cl)=Cc1ccccc1)[*:1],3200.0,2300.0,5.494850021680094,5.638272163982407,0.1434221423023132,False
401130,400831,NCC1CCC(CN(C/C(Cl)=C/c2ccccc2)C(=O)CCCc2c[nH]c3ccccc23)CC1,NCCCCCN(C/C(Cl)=C\c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,[*]C1CCC(CN)CC1,[*]CCCCN,NC[*:2].O=C(CCCc1c[nH]c2ccccc12)N(CC(Cl)=Cc1ccccc1)C[*:1],2500.0,2300.0,5.6020599913279625,5.638272163982407,0.0362121726544444,False
401150,400831,NCC1CCCC(CN(C/C(Cl)=C/c2ccccc2)C(=O)CCCc2c[nH]c3ccccc23)C1,NCCCCCN(C/C(Cl)=C\c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,[*]C1CCCC(CN)C1,[*]CCCCN,NC[*:1].O=C(CCCc1c[nH]c2ccccc12)N(CC(Cl)=Cc1ccccc1)C[*:2],3700.0,2300.0,5.431798275933005,5.638272163982407,0.2064738880494019,False
400877,400831,NCCCCCCCN(C/C(Cl)=C/c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,NCCCCCN(C/C(Cl)=C\c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,[*]CCCCCCN,[*]CCCCN,NC[*:1].O=C(CCCc1c[nH]c2ccccc12)N(CC(Cl)=Cc1ccccc1)C[*:2],7400.0,2300.0,5.130768280269024,5.638272163982407,0.5075038837133832,False
400833,400830,C/C(=C/c1ccccc1)CN(CCCCCN)C(=O)CCCc1c[nH]c2ccccc12,NCCCCCN(C/C=C\c1ccccc1)C(=O)CCCc1c[nH]c2ccccc12,[*]CC(C)=Cc1ccccc1,[*]CC=Cc1ccccc1,NCCCCCN(C(=O)CCCc1c[nH]c2ccccc12)[*:2].c1ccc([*:1])cc1,4700.0,16000.0,5.327902142064283,4.795880017344075,0.5320221247202079,False
